winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.513170600636,0.722980577491,?,72.8270693977,1.0,0.0,4,3,4.0,3.0,1,58.0,74.0,?
0.334043116711,0.389215691069,0,62.5506688729,1.0,2.0,2,1,3.0,4.0,1,55.0,23.0,1
0.629109179847,0.789778054491,0,64.5344681589,3.0,2.0,5,5,4.0,4.0,1,43.0,63.0,1
0.862038992239,0.723093018636,1,66.2675040155,1.0,1.0,?,4,3.0,3.0,1,37.0,45.0,1
0.582197151053,0.465355723304,0,65.6965472578,1.0,0.0,1,1,3.0,2.0,0,51.0,-23.0,1
?,0.672162882309,0,79.7517654838,2.0,2.0,5,1,2.0,2.0,?,38.0,27.0,1
0.410629062451,0.171838451542,1,64.2189127309,1.0,1.0,2,2,3.0,2.0,0,57.0,73.0,0
0.903672176287,0.847374019124,-1,62.6664702143,1.0,2.0,5,1,2.0,2.0,0,43.0,59.0,0
0.253672691615,0.460209786022,0,60.7286434028,?,2.0,2,1,3.0,4.0,0,34.0,54.0,1
0.418981508235,0.319641390742,1,67.7752979681,1.0,3.0,2,3,2.0,2.0,0,72.0,72.0,0
0.581377126524,0.100240945508,1,59.8194366595,2.0,1.0,2,2,?,?,0,54.0,82.0,?
0.31865347369,0.211757523932,1,60.6715109505,2.0,1.0,2,1,3.0,2.0,1,40.0,?,1
0.333552324472,0.396119071717,-1,64.1703727873,2.0,2.0,2,3,4.0,1.0,1,64.0,46.0,1
0.748175829942,0.101740011462,0,60.4445109606,?,2.0,3,?,3.0,3.0,0,30.0,33.0,0
0.365123380529,?,0,75.5843834528,2.0,3.0,3,1,4.0,2.0,0,?,35.0,?
0.550454522495,0.66144670432,?,66.1995539057,0.0,0.0,2,4,4.0,3.0,?,20.0,27.0,1
0.457593798136,0.40092672799,1,65.8132124574,3.0,1.0,3,3,3.0,2.0,1,48.0,?,1
0.290981960929,0.0820972867831,-1,85.1700699373,2.0,2.0,3,1,2.0,?,0,28.0,51.0,0
1.12296031892,0.218389107989,0,67.3898255001,2.0,2.0,2,3,3.0,3.0,1,49.0,37.0,0
0.22784570641,0.443868760831,-1,73.8021461983,2.0,-1.0,3,3,1.0,4.0,0,57.0,50.0,1
0.63061159641,0.582020093273,1,69.6708906328,?,1.0,3,3,?,4.0,0,54.0,11.0,1
0.476331587847,0.548803851939,1,48.8221352056,1.0,2.0,4,?,4.0,4.0,0,57.0,61.0,0
0.429315145656,0.55123950476,-1,75.6888829318,2.0,1.0,3,2,3.0,4.0,1,84.0,92.0,1
0.539412445346,0.647993270637,-1,64.0421372666,0.0,1.0,4,?,3.0,3.0,1,92.0,83.0,0
0.534297009471,0.0533342468165,0,61.3982421038,1.0,3.0,2,4,3.0,2.0,1,60.0,37.0,0
0.466120162177,0.88910910191,0,67.1080610681,1.0,0.0,4,4,2.0,2.0,0,?,59.0,1
0.250253924859,0.458013345641,1,56.8287840996,0.0,2.0,4,5,1.0,3.0,1,40.0,36.0,0
0.358788720346,0.570778267687,0,?,1.0,1.0,1,1,3.0,4.0,1,42.0,87.0,?
