winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.65698370165,0.586515415021,0,65.7673364074,1.0,2.0,4,3,3.0,2.0,0,15.0,72.0,0
0.350923049237,0.634032786941,0,69.5495059865,1.0,0.0,2,2,1.0,2.0,1,67.0,35.0,1
0.632086237612,0.462253994124,1,69.9038213949,1.0,2.0,4,3,4.0,1.0,1,49.0,40.0,0
0.849975856926,0.162373852292,0,63.5494436188,2.0,3.0,2,5,3.0,1.0,1,41.0,67.0,0
0.48882793395,0.304550183638,0,62.6683731471,1.0,2.0,1,2,4.0,3.0,0,28.0,24.0,0
?,0.629996086863,-1,60.2339937326,1.0,2.0,2,4,3.0,?,1,31.0,79.0,0
0.488751350574,?,-1,68.1402917637,4.0,1.0,4,4,3.0,3.0,1,52.0,61.0,1
0.492628981627,0.623255773306,1,69.7598468377,2.0,1.0,3,3,1.0,2.0,1,48.0,50.0,1
0.745168624095,0.672614550336,1,66.3598261603,2.0,2.0,5,2,5.0,1.0,1,69.0,33.0,1
0.788564715669,0.625044380688,1,73.2627630379,1.0,1.0,4,4,2.0,3.0,0,?,22.0,1
0.434377904116,0.641642260295,-1,64.1738596418,4.0,2.0,4,5,2.0,2.0,1,48.0,9.0,1
0.503287859425,0.61591730657,1,67.536416902,2.0,3.0,5,3,3.0,?,0,8.0,38.0,0
0.432597887151,0.205249803289,0,65.2289012195,2.0,1.0,1,4,3.0,2.0,0,76.0,47.0,1
0.444468517073,0.595376249231,0,71.8078170447,-1.0,3.0,2,4,2.0,1.0,1,40.0,50.0,0
0.921848824362,0.43850612848,1,77.1154431362,2.0,1.0,5,2,2.0,3.0,1,23.0,45.0,0
0.642049187497,0.442340904918,?,53.8972684323,1.0,1.0,2,4,3.0,3.0,0,59.0,28.0,1
0.504461886802,0.289429604726,?,56.1342253232,3.0,2.0,5,1,3.0,3.0,0,60.0,60.0,?
